orf_name,standard_name,desc
YAL009W,SPO7,Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme regulates nuclear growth by controlling phospholipid biosynthesis required for normal nuclear envelope morphology premeiotic replication and sporulation
YAL010C,MDM10,Subunit of both the ERMES complex that links the ER to mitochondria and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins
YAL011W,SWC3,Protein of unknown function component of the SWR1 complex which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL012W,CYS3,Cystathionine gamma-lyase catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine
YAL013W,DEP1,Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes as well as maintenance of telomeres mating efficiency and sporulation
YAL014C,SYN8,Endosomal SNARE related to mammalian syntaxin 8
YAL015C,NTG1,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress
YAL016W,TPD3,Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A) which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL017W,PSK1,One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status
YAL019W,FUN30,Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic non-tagged protein is detected in purified mitochondria in high-throughput studies
YAL020C,ATS1,Protein required with Elongator complex Kti11p and Kti12p for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle
YAL021C,CCR4,Component of the CCR4-NOT transcriptional complex which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase which is involved in mRNA poly(A) tail shortening
YAL022C,FUN26,Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole contributing to salvage of NmR for use in cytosolic NAD+ synthesis
YAL023C,PMT2,Protein O-mannosyltransferase transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p can instead interact with Pmt5; target for new antifungal
YAL024C,LTE1,Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL025C,MAK16,Essential nuclear protein constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL026C,DRS2,Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease
YAL027W,SAW1,Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL029C,MYO4,One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport including ASH1 mRNA and facilitating the growth and movement of ER tubules into the growing bud along with She3p
YAL030W,SNC1,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins
YAL031C,GIP4,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL032C,PRP45,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL033W,POP5,Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL034W-A,MTW1,Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly
YAL035W,FUN12,GTPase required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2
YAL036C,RBG1,Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p Ygr250cp Gir2p and Yap1p via two-hybrid
YAL038W,CDC19,Pyruvate kinase functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration
YAL039C,CYC3,Cytochrome c heme lyase (holocytochrome c synthase) attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)
YAL040C,CLN3,G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins CLN1 and CLN2; regulated by phosphorylation and proteolysis
YAL041W,CDC24,Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance and mutants have morphological defects in bud formation and shmooing
YAL042W,ERV46,Protein localized to COPII-coated vesicles forms a complex with Erv41p; involved in the membrane fusion stage of transport
YAL043C,PTA1,Subunit of holo-CPF a multiprotein complex and functional homolog of mammalian CPSF required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
YAL044C,GCV3,H subunit of the mitochondrial glycine decarboxylase complex required for the catabolism of glycine to 510-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 510-methylene-THF
YAL047C,SPC72,Component of the cytoplasmic Tub4p (gamma-tubulin) complex binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization
YAL048C,GEM1,Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed globular or grape-like mitochondria; not required for pheromone-induced cell death
YAL051W,OAF1,Oleate-activated transcription factor acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis
YAL053W,FLC2,Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance
YAL054C,ACS1,Acetyl-coA synthetase isoform which along with Acs2p is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL055W,PEX22,Putative peroxisomal membrane protein required for import of peroxisomal proteins functionally complements a Pichia pastoris pex22 mutation
YAL056W,GPB2,Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p
YAL058W,CNE1,Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
YAL059W,ECM1,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL060W,BDH1,NAD-dependent (RR)-butanediol dehydrogenase catalyzes oxidation of (RR)-23-butanediol to (3R)-acetoin oxidation of meso-butanediol to (3S)-acetoin and reduction of acetoin; enhances use of 23-butanediol as an aerobic carbon source
YAL062W,GDH3,NADP(+)-dependent glutamate dehydrogenase synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources
YAL063C,FLO9,Lectin-like protein with similarity to Flo1p thought to be expressed and involved in flocculation
YAL068C,PAU8,Protein of unknown function member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAR002C-A,ERP1,Protein that forms a heterotrimeric complex with Erp2p Emp24p and Erv25p; member along with Emp24p and Erv25p of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles
YAR002W,NUP60,Subunit of the nuclear pore complex (NPC) functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1
YAR003W,SWD1,Subunit of the COMPASS (Set1C) complex which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YAR007C,RFA1,Subunit of heterotrimeric Replication Protein A (RPA) which is a highly conserved single-stranded DNA binding protein involved in DNA replication repair and recombination
YAR008W,SEN34,Subunit of the tRNA splicing endonuclease which is composed of Sen2p Sen15p Sen34p and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
YAR014C,BUD14,Protein involved in bud-site selection Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
YAR015W,ADE1,N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine
YAR018C,KIN3,Nonessential serine/threonine protein kinase; possible role in DNA damage response
YAR019C,CDC15,Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II
YAR033W,MST28,Putative integral membrane protein involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles
YAR035W,YAT1,Outer mitochondrial carnitine acetyltransferase minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated
YAR042W,SWH1,Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction
YAR050W,FLO1,Lectin-like protein involved in flocculation cell wall protein that binds to mannose chains on the surface of other cells confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p
YAR071W,PHO11,One of three repressible acid phosphatases a glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBL003C,HTA2,Histone H2A core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p
YBL004W,UTP20,Component of the small-subunit (SSU) processome which is involved in the biogenesis of the 18S rRNA
YBL005W,PDR3,Transcriptional activator of the pleiotropic drug resistance network regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements)
YBL006C,LDB7,Component of the RSC chromatin remodeling complex; interacts with Rsc3p Rsc30p Npl6p and Htl1p to form a module important for a broad range of RSC functions
YBL007C,SLA1,Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains
YBL008W,HIR1,Subunit of the HIR complex a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation heterochromatic gene silencing and formation of functional kinetochores
YBL009W,ALK2,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk1p and to mammalian haspins
YBL011W,SCT1,Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the glycerolipid biosynthesis pathway prefers 16-carbon fatty acids similar to Gpt2p gene is constitutively transcribed
YBL014C,RRN6,Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p Rrn7p and Rrn11p
YBL015W,ACH1,Protein with CoA transferase activity particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
YBL016W,FUS3,Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p Far1p Bni1p Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p promoting its degradation
YBL017C,PEP1,Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments
YBL018C,POP8,Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YBL019W,APN2,Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII
YBL021C,HAP3,Subunit of the heme-activated glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding
YBL022C,PIM1,ATP-dependent Lon protease involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria
YBL023C,MCM2,Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex
YBL024W,NCL1,S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120
YBL025W,RRN10,Protein involved in promoting high level transcription of rDNA subunit of UAF (upstream activation factor) for RNA polymerase I
YBL026W,LSM2,Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA snoRNA and rRNA
YBL030C,PET9,Major ADP/ATP carrier of the mitochondrial inner membrane exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation
YBL031W,SHE1,Mitotic spindle protein that interacts with components of the Dam1 (DASH) complex its effector Sli15p and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure
YBL032W,HEK2,RNA binding protein involved in the asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K
YBL033C,RIB1,GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway
YBL034C,STU1,Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles
YBL035C,POL12,B subunit of DNA polymerase alpha-primase complex required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation
YBL039C,URA7,Major CTP synthase isozyme (see also URA8) catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP forming CTP the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis
YBL040C,ERD2,HDEL receptor an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins
YBL041W,PRE7,Beta 6 subunit of the 20S proteasome
YBL042C,FUI1,High affinity uridine permease localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport
YBL045C,COR1,Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex) which is a component of the mitochondrial inner membrane electron transport chain
YBL046W,PSY4,Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX but not for dephosphorylation of Rad53p during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2
YBL047C,EDE1,Key endocytic protein involved in a network of interactions with other endocytic proteins binds membranes in a ubiquitin-dependent manner may also bind ubiquitinated membrane-associated proteins
YBL050W,SEC17,Peripheral membrane protein required for vesicular transport between ER and Golgi the 'priming' step in homotypic vacuole fusion and autophagy; stimulates the ATPase activity of Sec18p; has similarity to mammalian alpha-SNAP
YBL051C,PIN4,Protein involved in G2/M phase progression and response to DNA damage interacts with Rad53p; contains an RNA recognition motif a nuclear localization signal and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage
YBL052C,SAS3,Histone acetyltransferase catalytic subunit of NuA3 complex that acetylates histone H3 involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal
YBL054W,TOD6,PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor similar to Dot6p; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manne
YBL055C,YBL055C,3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases
YBL056W,PTC3,Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA damage checkpoint inactivation
YBL058W,SHP1,UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate
YBL059C-A,CMC2,Protein of the mitochondrial intermembrane space with a role in respiratory chain complex assembly or maintenance; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold
YBL060W,YEL1,Guanine nucleotide exchange factor specific for Arf3p; localized to the bud neck and tip; required for localization of Arf3p to the bud neck and tip
YBL061C,SKT5,Activator of Chs3p (chitin synthase III) recruits Chs3p to the bud neck via interaction with Bni4p; has similarity to Shc1p which activates Chs3p during sporulation
YBL063W,KIP1,Kinesin-related motor protein required for mitotic spindle assembly chromosome segregation and 2 micron plasmid partitioning; functionally redundant with Cin8p for chromosomal but not plasmid functions
YBL064C,PRX1,Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated
YBL068W,PRS4,5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase synthesizes PRPP which is required for nucleotide histidine and tryptophan biosynthesis; one of five related enzymes which are active as heteromultimeric complexes
YBL069W,AST1,Peripheral membrane protein that interacts with the plasma membrane ATPase Pma1p and has a role in its targeting to the plasma membrane possibly by influencing its incorporation into lipid rafts
YBL071W-A,KTI11,Zn-ribbon protein that co-purifies with Dph1 and Dph2 in a complex required for synthesis of diphthamide on translation factor eEF2 and with Elongator subunits Iki3p Elp2p and Elp3p involved in modification of wobble nucleosides in tRNAs
YBL072C,RPS8A,Protein component of the small (40S) ribosomal subunit; identical to Rps8Bp and has similarity to rat S8 ribosomal protein
YBL074C,AAR2,Component of the U5 snRNP required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron
YBL075C,SSA3,ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
YBL078C,ATG8,Component of autophagosomes and Cvt vesicles; undergoes conjugation to phosphatidylethanolamine (PE); Atg8p-PE is anchored to membranes is involved in phagophore expansion and may mediate membrane fusion during autophagosome formation
YBL079W,NUP170,Subunit of the nuclear pore complex (NPC) required for NPC localization of specific nucleoporins; involved in nuclear envelope permeability and chromosome segregation; has similar to Nup157p; essential role with Nup157p in NPC assembly
YBL080C,PET112,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog
YBL082C,ALG3,Dolichol-P-Man dependent alpha(1-3) mannosyltransferase involved in the synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins
YBL084C,CDC27,Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C) which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors including mitotic cyclins during the metaphase/anaphase transition
YBL085W,BOI1,Protein implicated in polar growth functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain
YBL088C,TEL1,Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; functionally redundant with Mec1p; homolog of human ataxia telangiectasia (ATM) gene
YBL090W,MRP21,Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences
YBL091C,MAP2,Methionine aminopeptidase catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p
YBL091C-A,SCS22,Protein involved in regulation of phospholipid metabolism; homolog of Scs2p; similar to D. melanogaster inturned protein
YBL093C,ROX3,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme
YBL097W,BRN1,Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission
YBL098W,BNA4,Kynurenine 3-mono oxygenase required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease
YBL099W,ATP1,Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase which is a large evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated
YBL101C,ECM21,Protein involved in regulating the endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements
YBL102W,SFT2,Non-essential tetra-spanning membrane protein found mostly in the late Golgi can suppress some sed5 alleles; may be part of the transport machinery but precise function is unknown; similar to mammalian syntaxin 5
YBL103C,RTG3,Basic helix-loop-helix-leucine zipper (bHLH/Zip) transcription factor that forms a complex with another bHLH/Zip protein Rtg1p to activate the retrograde (RTG) and TOR pathways
YBL105C,PKC1,Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha beta and gamma isoforms of mammalian protein kinase C (PKC)
YBL106C,SRO77,Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro7p and Drosophila lethal giant larvae tumor suppressor; interacts with SNARE protein Sec9p
YBR001C,NTH2,Putative neutral trehalase required for thermotolerance and may mediate resistance to other cellular stresses
YBR002C,RER2,Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum (ER) protein sorting
YBR003W,COQ1,Hexaprenyl pyrophosphate synthetase catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis
YBR004C,GPI18,Functional ortholog of human PIG-V which is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic non-tagged protein was localized to mitochondria
YBR005W,RCR1,Protein of the ER membrane involved in cell wall chitin deposition; may function in the endosomal-vacuolar trafficking pathway helping determine whether plasma membrane proteins are degraded or routed to the plasma membrane
YBR006W,UGA2,Succinate semialdehyde dehydrogenase involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm
YBR008C,FLR1,Plasma membrane multidrug transporter of the major facilitator superfamily involved in efflux of fluconazole diazaborine benomyl methotrexate and other drugs; expression induced in cells treated with the mycotoxin patulin
YBR009C,HHF1,Histone H4 core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
YBR010W,HHT1,Histone H3 core histone protein required for chromatin assembly part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation methylation and phosphorylation
YBR014C,GRX7,Cis-golgi localized monothiol glutaredoxin; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; does not bind metal ions; functional overlap with GRX6
YBR015C,MNN2,Alpha-12-mannosyltransferase responsible for addition of the first alpha-12-linked mannose to form the branches on the mannan backbone of oligosaccharides localizes to an early Golgi compartment
YBR017C,KAP104,Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p; regulates asymmetric protein synthesis in daughter cells during mitosis
