Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
unknown,similar to glycophospholipid-anchored surface glycoprotein GAS1,G2/M,YOL132W,YOL132W,YOL132W,viable,New,Protein with similarity to glycophospholipid-anchored surface glycoprotein GAS1 ,1.359
unknown,unknown,G2/M,YOR104W,YOR104W,YOR104W,undocumented,New,novel,1.36
unknown,similar to rat calcium-binding protein regucalcin,M/G1,YBR053C,YBR053C,YBR053C,undocumented,New,Protein with similarity to rat calcium-binding protein regucalcin and rat senescence marker protein 30 ,1.362
unknown,allantoate permease family,G2/M,YGR065C,YGR065C,YGR065C,undocumented,New,Member of the allantoate permease family ,1.362
unknown,unknown,G1,YJL015C,YJL015C,YJL015C,undocumented,New,"Protein of unknown function, overlaps with YJL016W ",1.363
protein degradation,periplasmic aspartyl protease,G1,YDR144C,YPS2,MKC7,viable,New,"Aspartyl protease of the periplasmic space, has similarity to Yap3p and Bar1p",1.369
unknown,unknown,G2/M,YFL006W,YFL006W,YFL006W,undocumented,New,Protein of unknown function ,1.369
cell cycle,Swe1p (kinase) regulator,S/G2,YBR133C,HSL7,HSL7,viable,New,Negative regulator of the Swe1p protein kinase,1.371
unknown,unknown,G1,YOR372C,YOR372C,YOR372C,undocumented,New,novel,1.371
unknown,unknown,G2/M,YBR287W,YBR287W,YBR287W,undocumented,New,similarity to hypothetical S. pombe protein,1.375
fatty acid metabolism,"fatty-acyl-CoA synthase, beta subunit",M/G1,YKL182W,FAS1,FAS1,undocumented,New,"Fatty-acyl-CoA synthase, beta chain (contains acetyl transferase, enoyl reductase, dehydratase, and malonyl/palmitoyl transferase)",1.377
unknown,unknown,G1,YBR007C,YBR007C,YBR007C,undocumented,New,novel,1.383
unknown,unknown,G2/M,YDL180W,YDL180W,YDL180W,undocumented,New,Protein of unknown function ,1.383
unknown,similar to aldo-keto reductases,G1,YDR368W,YPR1,YPR1,undocumented,New,Protein with similarity to members of the aldo/keto reductase family ,1.385
unknown,unknown,G1,YHR067W,YHR067W,YHR067W,undocumented,New,Protein of unknown function ,1.386
transport,mitochondrial ADP/ATP translocator,G2/M,YBL030C,PET9,PET9,viable,New,ADP/ATP carrier protein of the mitochondrial carrier (MCF) family ,1.391
trehalose metabolism,"alpha,alpha-trehalase",G1,YDR001C,NTH1,YDR001C,viable,New,"Neutral trehalase (alpha, alpha-trehalase)",1.391
DNA repair; DNA damage checkpoint,activates exonuclease,S/G2,YLR288C,MEC3,MEC3,viable,New,Checkpoint protein required for arrest in G2 after DNA damage and for delaying in G1- and S-phase during DNA damage ,1.402
unknown,unknown,M/G1,YGR219W,YGR219W,YGR219W,undocumented,New,Protein of unknown function ,1.405
fatty acid metabolism,conversion of 24-carbon to 26-carbon fatty acids,G1,YLR372W,SUR4,SUR4,undocumented,New,Protein required for the conversion of 24-carbon fatty acids to 26-carbon fatty acids,1.406
protein folding,protein disulfide isomerase,G2/M,YCL043C,PDI1,PDI1,lethal,New,Protein disulfide isomerase ,1.407
unknown,unknown,G2/M,YOR129C,YOR129C,YOR129C,undocumented,New,novel,1.409
unknown,similar to phosphoglycerate mutases,G1,YOR283W,YOR283W,YOR283W,undocumented,New,Protein with similarity to phosphoglycerate mutases ,1.414
unknown,unknown,G2/M,YOL150C,YOL150C,YOL150C,undocumented,New,Protein of unknown function ,1.416
cytoskeleton (putative),actin-related protein,S,YPR034W,ARP7,ARP7,undocumented,New,Protein with weak similarity to actin and actin-related protein Arp4p and Arp1p,1.417
unknown,unknown,M/G1,YFL044C,YFL044C,YFL044C,undocumented,New,Protein of unknown function ,1.419
unknown,similar to mouse REX1 encoded transcription factor,G2/M,YPR013C,YPR013C,YPR013C,undocumented,New,Protein with similarity to mouse REX1 encoded transcription factor (SP:P22227),1.421
unknown,unknown,S/G2,YOR152C,YOR152C,YOR152C,undocumented,New,Protein of unknown function ,1.425
mating,a-agglutinin binding subunit,M/G1,YGL032C,AGA2,AGA2,undocumented,New,a-Agglutinin binding subunit ,1.427
unknown,unknown,G2/M,YKR079C,YKR079C,YKR079C,undocumented,New,Protein of unknown function ,1.429
vacuolar acidification,vacuolar H+-ATPase V1 domain 27 KD subunit,S/G2,YOR332W,VMA4,VMA4,viable,New,"Vacuolar H-ATPase (V-ATPase) hydrophilic subunit (subunit E), 27 kDa subunit of V1 sector ",1.429
unknown,unknown,M/G1,YLR013W,YLR013W,YLR013W,undocumented,New,Protein of unknown function ,1.43
unknown,unknown,S,YML117W,YML117W,YML117W,undocumented,New,"Protein of unknown function, contains an ATP/GTP-binding site motif A (P-loop)",1.43
mating,unknown,G1,YER149C,PEA2,PEA2,viable,New,Protein involved in oriented growth toward mating partner ,1.431
transport,hexose permease,M/G1,YHR092C,HXT4,HXT4,viable,New,"Moderate- to low-affinity hexose transporter, member of sugar permease family ",1.431
unknown,similar to Dal5p,G2/M,YGR260W,YGR260W,YGR260W,undocumented,New,Protein with similarity to Dal5p ,1.433
"cell cycle, checkpoint",unknown,S/G2,YMR055C,BUB2,BUB2,viable,New,Checkpoint protein required for cell cycle arrest in response to loss of microtubule function ,1.433
unknown,unknown,G1,YGR153W,YGR153W,YGR153W,undocumented,New,Protein of unknown function ,1.434
unknown,unknown,G1,YDL011C,YDL011C,YDL011C,undocumented,New,novel; questionable ORF,1.436
unknown,unknown,G1,YOR083W,YOR083W,YOR083W,undocumented,New,has 48% identity to Ykr091p over 31 amino acids,1.436
protein glycosylation,,S,YGL225W,GOG5,GOG5,lethal,Known,Golgi GDP-mannose transporter; vanadate-resistance protein required for normal Golgi functions including N-linked glycosylation,1.44
mating,a-factor precursor,G1,YDR461W,MFA1,MFA1,viable,New,"Mating pheromone a-factor, exported from cell by Ste6p ",1.44
unknown,unknown,S/G2,YHR108W,YHR108W,YHR108W,undocumented,New,strong similarity to hypothetical protein YDR358w,1.44
unknown,unknown,G2/M,YKL044W,YKL044W,YKL044W,undocumented,New,Protein of unknown function ,1.442
unknown,unknown,G1,YLR151C,YLR151C,YLR151C,undocumented,New,novel,1.443
tRNA splicing,unknown,S/G2,YHR006W,STP2,STP2,undocumented,New,Protein involved in tRNA splicing and branched-chain amino acid uptake ,1.446
unknown,suppresses SEC4 dominant negative mutant,G1,YHR127W,HSN1,HSN1,viable,New,High-copy allele-specific suppressor SEC4 ,1.446
unknown,ER 25 kDa transmembrane protein,S,YKL065C,YET1,YET1,viable,New,Transmembrane protein of the endoplasmic reticulum ,1.446
vacuole biogenesis,unknown; regulator,S/G2,YGL212W,VAM7,VAM7,viable,New,Protein involved in morphogenesis of the vacuole ,1.447
oxidative phosphorylation,NADH-ubiquinone-6 oxidoreductase,G2/M,YML120C,NDI1,NDI1,undocumented,New,NADH-ubiquinone oxidoreductase (rotenone insensitive),1.447
DNA repair,uracil DNA glycosylase,G1,YML021C,UNG1,UNG1,viable,Known,"Uracil-DNA glycolyase, removes uracil from DNA ",1.452
unknown,unknown,G1,YLR458W,YLR458W,YLR458W,undocumented,New,questionable ORF,1.456
lipid metabolism,cytochrome b5,G2/M,YNL111C,CYB5,CYB5,viable,New,Cytochrome b5 ,1.456
arginine metabolism,arginase,G2/M,YPL111W,CAR1,CAR1,viable,New,"Arginase, present in a complex with ornithine carbamyltransferase where it acts as a allosteric regulator ",1.456
glycogen metabolism,glycogen synthase,M/G1,YFR015C,GSY1,GSY1,undocumented,New,UDPglucose--starch glucosyltransferase (glycogen synthetase) isoform 1 ,1.457
secretion,ER membrane t-SNARE,G1,YOR075W,UFE1,UFE1,lethal,New,Syntaxin homolog (t-SNARE) of the endoplasmic reticulum required for targeting of vesicles to the ER ,1.457
unknown,similar to members of the major facilitator,G1,YEL064C,YEL064C,YEL064C,viable,New,Protein with similarity to members of the major facilitator superfamily (MFS) ,1.459
cell wall biogenesis,chitin biosynthesis,S/G2,YJL099W,CHS6,CHS6,viable,New,"Protein with tetratricopeptide (TPR) repeats involved for chitin synthase Chs3p activity, mutants are resistant to calcofluor white ",1.46
unknown,similar to Pmt1p,G1,YDR307W,YDR307W,YDR307W,undocumented,New,Protein with similarity to Pmt1p ,1.464
unknown,unknown,G1,YML100W,TSL1,TSL1,undocumented,New,"Component of the trehalose-6-phosphate synthase/phosphatase complex, alternate third subunit with Tps3p ",1.464
transport,hexose permease,M/G1,YDR342C,HXT7,HXT7,viable,New,"High-affinity hexose transporter, member of the sugar permease family (HXT6 and HXT7 genes differ by 2 base pairs) ",1.465
chromatin structure,histone acetyltransferase complex subunit,S,YDR448W,ADA2,ADA2,viable,New,Component of the nucleosomal histone acetyltransferase (Spt-Ada-Gcn5-Acetyltransferase or SAGA) complex ,1.465
unknown,unknown,G2/M,YNL171C,YNL171C,YNL171C,undocumented,New,"Protein of unknown function, questionable ORF ",1.466
fatty acid metabolism,long chain fatty acyl:CoA synthetase,M/G1,YOR317W,FAA1,FAA1,viable,New,"Long-chain fatty acid CoA ligase (fatty acid activator 1), can incorporate exogenous myristate into myristoyl-CoA and other fatty acids to the CoA derivatives",1.467
signaling,calmodulin-dependent protein kinase,G1,YOL016C,CMK2,CMK2,viable,New,Calcium/calmodulin-dependent serine/threonine protein kinase (CaM kinase) type II ,1.468
mRNA export; protein import,nuclear shuttling protein,G2/M,YDR432W,NPL3,NPL3,lethal,New,"Protein involved in 18S and 25S rRNA processing, export of RNA from the nucleus, import of proteins into the nucleus, and associated with U1 snRNP, has 2 RNA recognition (RRM) domains ",1.469
unknown,putative protein disulfide isomerase,S/G2,YOL088C,MPD2,MPD2,viable,New,Protein disulfide isomerase-related protein ,1.471
cytoskeleton,spindle pole body component,G1,YHR172W,SPC97,SPC97,lethal,New,Spindle pole body component that plays a role in organization of nuclear and cytoplasmic microtubules ,1.477
lysine biosynthesis,saccharopine dehydrogenase,G2/M,YNR050C,LYS9,LYS9,viable,New,"Saccharopine dehydrogenase (NADP+, L-glutamate forming) (saccharopine reductase), seventh step in lysine biosynthesis pathway ",1.48
DNA replication,DNA polymerase processivity factor,G1,YBR087W,RFC5,RFC5,lethal,New,"Replication factor C, 40 kDa subunit ",1.481
bud site selection,putative GTPase-activating protein (GAP) for GAP for Cdc42p or Rho1p,M/G1,YOR127W,RGA1,RGA1,viable,New,Rho-type GTPase-activating protein (GAP) for Cdc42p ,1.481
unknown,unknown,G2/M,YBL100C,YBL100C,YBL100C,undocumented,New,Protein of unknown function ,1.486
unknown,unknown,G2/M,YOR049C,YOR049C,YOR049C,undocumented,New,Protein of unknown function ,1.486
unknown,unknown,S/G2,YLR169W,YLR169W,YLR169W,undocumented,New,Protein of unknown function ,1.487
transport,dicarboxylic amino acid permease,G2/M,YPL265W,DIP5,DIP5,undocumented,New,Dicarboxylic amino acid permease ,1.491
unknown,unknown,G2/M,YGR146C,YGR146C,YGR146C,undocumented,New,Protein of unknown function ,1.495
glucose repression,transcriptional repressor,G2/M,YGL209W,MIG2,MIG2,viable,New,Zinc-finger protein involved in glucose repression of SUC2 ,1.501
unknown,unknown,M/G1,YOR342C,YOR342C,YOR342C,undocumented,New,Protein of unknown function ,1.503
unknown,similar to human DS-1 protein,S/G2,YOL114C,YOL114C,YOL114C,undocumented,New,Protein with similarity to human DS-1 protein ,1.505
unknown,unknown,M/G1,YKL151C,YKL151C,YKL151C,undocumented,New,Protein of unknown function ,1.506
signaling,protein kinase,G2/M,YHR205W,SCH9,SCH9,lethal,New,Serine/threonine protein kinase that is activated by cAMP ,1.508
unknown,unknown,G1,YML020W,YML020W,YML020W,undocumented,New,Protein of unknown function ,1.508
unknown,similar to Pep1p,S,YNR066C,YNR066C,YNR066C,undocumented,New,Protein with similarity to Pep1p ,1.508
unknown,unknown,G2/M,YML035C-A,,YML035C-A,undocumented,New,,1.5085
unknown,unknown,S/G2,YDR346C,YDR346C,YDR346C,undocumented,New,has similarity to YDR222W and YLR225C,1.509
mitochondrial transport,"porin, anion channel",M/G1,YIL114C,POR2,POR2,viable,New,Outer mitochondrial membrane porin (voltage-dependent anion-selective channel),1.509
unknown,unknown; bypass of PAM1,G1,YPL221W,YPL221W,BOP1,undocumented,New,"strong similarity to YGL139W, YAL053W and YOR365C ",1.509
unknown,unknown,G2/M,YOL014W,YOL014W,YOL014W,viable,New,Protein of unknown function ,1.511
protein degradation,vacuolar protease B,S,YEL060C,PRB1,PRB1,viable,New,"Protease B (yscB) (PrB) (cerevisin), serine protease of the subtilisin family with broad proteolytic specificity ",1.512
unknown,unknown,G1,YJR154W,YJR154W,YJR154W,undocumented,New,Protein of unknown function ,1.512
unknown,similar to potato sucrose cleavage protein,G2/M,YML050W,YML050W,YML050W,undocumented,New,Protein with weak similarity to potato sucrose cleavage protein ,1.515
protein glycosylation,dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase,G1,YDL095W,PMT1,PMT1,viable,New,"Mannosyltransferase (dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase), first step in O-glycosylation; lots of PMT genes appear to be coregulated",1.52
"signaling, pheromone pathway",unknown,M/G1,YNL173C,MDG1,MDG1,undocumented,New,G-protein involved in adaptation to pheromone response ,1.521
unknown,similar to Ybr014p and glutaredoxins,G1,YDL010W,YDL010W,YDL010W,undocumented,New,Protein with similarity to Ybr014p and glutaredoxins ,1.526
mitochondrial protein targeting,mitochondrial carrier family,S/G2,YNL003C,PET8,PET8,viable,New,"Protein of the mitochondrial carrier (MCF) family, has similarity to Mrs4p and Mrs3p ",1.526
unknown,unknown,G2/M,YEL025C,YEL025C,YEL025C,viable,New,Protein of unknown function ,1.527
unknown,unknown,S,YIL117C,YIL117C,YIL117C,undocumented,New,Protein of unknown function ,1.527
DNA repair,DNA helicase,G1,YLR032W,RAD5,RAD5,viable,New,Protein required for meiosis-specific double-stranded break repair and meiotic recombination ,1.528
unknown,unknown,M/G1,YLR465C,YLR465C,YLR465C,undocumented,New,see comment; questionable ORF,1.528
unknown,unknown,S/G2,YIL135C,YIL135C,YIL135C,undocumented,New,Protein of unknown function ,1.53
rRNA processing,nucleolar protein ,M/G1,YCR018C,SRD1,SRD1,viable,New,"Nucleolar protein involved in pre-rRNA processing, does not bind to small nucleolar RNA (snoRNA) ",1.533
unknown,unknown,G2/M,YNL056W,YNL056W,YNL056W,undocumented,New,Protein of unknown function ,1.534
lysine biosynthesis,homo-isocitrate dehydrogenase,G2/M,YIL094C,LYS12,LYS12,viable,New,"Homoisocitrate dehyrogenase, fourth step in lysine biosynthesis pathway, converts homoisocitrate to alpha-ketoadipate ",1.536
glycogen metabolism,glycogen phosphorylase,G1,YPR160W,GPH1,GPH1,viable,New,"Glycogen phosphorylase, releases alpha-D-glucose-1-phosphate from glycogen ",1.539
unknown,unknown,G2/M,YCL038C,YCL038C,YCL038C,undocumented,New,"Protein of unknown function, member of the major facilitator superfamily (MFS) ",1.541
unknown,unknown,S/G2,YJR110W,YJR110W,YJR110W,undocumented,New,Protein tyrosine phosphatase (PTPase) of unknown function ,1.544
unknown,unknown,G2/M,YMR254C,YMR254C,YMR254C,viable,New,"Protein of unknown function, questionable ORF ",1.544
unknown,major facilitator superfamily,S/G2,YJR001W,YJR001W,YJR001W,undocumented,New,"similarity to YNL101w and C.elegans hypothetical protein T20G5.6, weak similarity to A.thaliana aminoacid permease AAP4; member of the major facilitator superfamily (MFS) ",1.545
transcription,Ty1 enhancer activator,S/G2,YOR337W,TEA1,TEA1,viable,New,Ty1 enhancer activator of the Gal4p-type family of DNA-binding proteins ,1.547
unknown,similar to proteins of the short-chain alcohol,M/G1,YIR036C,YIR036C,YIR036C,undocumented,New,Protein with similarity to proteins of the short-chain alcohol dehydrogenase family and to 7-alpha-hydroxysteroid dehydrogenase ,1.549
one-carbon interconversion,serine hydroxymethyltransferase,S/G2,YLR058C,SHM2,SHM2,viable,New,"Serine hydroxymethyltransferase (glycine hydroxymethyltransferase), interconverts serine and glycine ",1.55
transport,vacuolar H+/Ca(2+) exchanger,G2/M,YDL128W,VCX1,VCX1,viable,New,Calcium transport (H+/Ca++ exchange) protein of the vacuolar membrane ,1.551
DNA replication,origin recognition complex 104 kD subunit,S/G2,YML065W,ORC1,ORC1,lethal,New,"Origin recognition complex, large subunit",1.553
,,S/G2,YCLX09W,YCLX09W,YCLX09W,undocumented,New,,1.557
cell cycle and meiosis,unknown,G1,YPL255W,BBP1,BBP1,lethal,New,Bbp1p-depleted cells arrest with a G2 DNA content and a nonuniform morphology,1.557
4-nitroquinoline-N-oxide resistance,putative ATP-dependent permease,S/G2,YDR011W,SNQ2,SNQ2,viable,New,Multidrug resistance protein of the ATP-binding cassette (ABC) superfamily ,1.56
unknown,unknown,G1,YDL105W,QRI2,QRI2,lethal,New,Protein of unknown function ,1.561
fatty acid metabolism,long-chain-fatty-acid--CoA ligase,M/G1,YMR246W,FAA4,FAA4,viable,New,"Acyl-CoA synthase (long-chain fatty acid CoA ligase), contributes to activation of imported myristate ",1.561
unknown,unknown,S,YPL250C,YPL250C,YPL250C,undocumented,New,Protein of unknown function ,1.561
unknown,unknown,S/G2,YLR302C,YLR302C,YLR302C,undocumented,New,Protein of unknown function ,1.565
unknown,similar to subtelomerically-encoded proteins,M/G1,YDR545W,YDR545W,YDR545W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,1.567
aminotriazole resistance,transporter (putative),G2/M,YML116W,ATR1,ATR1,viable,New,"Aminotriazole and 4-nitroquinoline-1-oxide (4NQO) resistance protein, member of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ",1.569
unknown,similar to thymidylate synthase in the N-terminal,G2/M,YHR029C,YHR029C,YHR029C,undocumented,New,Protein with similarity to thymidylate synthase in the N-terminal region ,1.574
unknown,putative alpha-ketoisocaproate reductase,S,YIL074C,YIL074C,YIL074C,undocumented,New,Potential alpha-ketoisocaproate reductase ,1.574
arginine biosynthesis,arginosuccinate synthetase,S/G2,YOL058W,ARG1,ARG1,undocumented,New,Argininosuccinate synthetase (citrulline--aspartate ligase),1.574
unknown,unknown; binds Sed3p and Sec23p,S,YHR098C,YHR098C,SFB3,viable,New,similarity to human hypothetical protein,1.575
unknown,similar to Can1p,G1,YJL091C,YJL091C,YJL091C,viable,New,null mutants grow very slowly; contains 12 putative transmembrane domains,1.575
DNA replication (putative),ribonuclease H,G1,YNL072W,RNH35,RNH35,viable,New,RNase H of 35 kDa,1.579
unknown,unknown,G1,YAL053W,YAL053W,YAL053W,undocumented,New,Protein of unknown function ,1.58
unknown,ATP-binding cassette (ABC) superfamily,M/G1,YKR103W,YKR103W,YKR103W,undocumented,New,"Member of the ATP-binding cassette (ABC) superfamily, possible pseudogene ",1.582
protein synthesis,translational activator of GCN4,G1,YGL195W,GCN1,GCN1,viable,New,Component of a protein complex required for activation of Gcn2p protein kinase in response to starvation for amino acids or purines ,1.584
transport,ammonia permease,G2/M,YPR138C,MEP3,MEP3,viable,New,Ammonia permease of high capacity and low affinity ,1.589
unknown,unknown,G2/M,YOR105W,YOR105W,YOR105W,undocumented,New,Protein of unknown function ,1.59
unknown,unknown,M/G1,YPL014W,YPL014W,YPL014W,undocumented,New,Protein of unknown function ,1.591
unknown,"similar to Yil176p, Yir041p and other members of",G2/M,YIL011W,YIL011W,YIL011W,undocumented,New,"Protein with similarity to Yil176p, Yir041p and other members of the PAU1 family",1.603
unknown,similar to Gap1p and other amino acid permeases,S,YLL061W,YLL061W,YLL061W,undocumented,New,Protein with similarity to Gap1p and other amino acid permeases ,1.604
unknown,unknown,S/G2,YNL276C,YNL276C,YNL276C,viable,New,"Protein of unknown function, questionable ORF ",1.605
unknown,similar to D-2-hydroxyacid dehydrogenase,G1,YGL185C,YGL185C,YGL185C,undocumented,New,Protein with similarity to D-2-hydroxyacid dehydrogenase ,1.606
iron homeostasis,ferric (and cupric) reductase,G2/M,YLR214W,FRE1,FRE1,viable,New,"Ferric and cupric reductase, acts on ferric iron chelates external to the cell ",1.609
cell wall biogenesis,chitin biosynthesis,M/G1,YKL104C,GFA1,GFA1,undocumented,New,"Glucosamine--fructose-6-phosphate aminotransferase, isomerizing (hexosephosphate aminotransferase), first step in chitin biosynthesis pathway ",1.617
glycolysis,phosphofructokinase,G2/M,YGR240C,PFK1,PFK1,viable,New,"Phosphofructokinase alpha subunit, part of a complex with Pfk2p which carries out a key regulatory step in glycolysis ",1.619
unknown,unknown,S,YMR295C,YMR295C,YMR295C,undocumented,New,similarity to YGR273c,1.619
unknown,hypothetical aryl-alcohol dehydrogenase,G1,YJR155W,AAD10,AAD10,undocumented,New,Protein with similarity to aryl-alcohol dehydrogenase ,1.62
transcription,transcriptional repressor and activator,S/G2,YNL216W,RAP1,RAP1,lethal,New,"DNA-binding protein with repressor and activator activity, also involved in silencing at telomeres and silent mating type loci",1.622
unknown,unknown,M/G1,YBR273C,YBR273C,YBR273C,undocumented,New,Protein of unknown function ,1.625
protein folding,peptidyl-prolyl cis-trans isomerase,S/G2,YCR069W,SCC3,SCC3,viable,New,"Cyclophilin (peptidylprolyl isomerase) of the endoplasmic reticulum membrane, homolog of ninaA ",1.628
respiration (putative),unknown; suppresses nam9-1,G1,YOR355W,GDS1,GDS1,viable,New,"Protein that suppresses nam9-1 glycerol deficient phenotype when overexpressed, involved in nuclear control of mitochondria ",1.629
unknown,similar to peroxisomal serine-active lipase,M/G1,YBR204C,YBR204C,YBR204C,undocumented,New,Protein with similarity to peroxisomal serine-active lipase ,1.63
unknown,similar to C-terminal region of human MAC30,G1,YLR050C,YLR050C,YLR050C,undocumented,New,Protein with similarity to C-terminal region of human MAC30 ,1.63
RNA processing,U3 snRNA,S/G2,YOR235W,YOR235W,SNR17A,undocumented,New,questionable ORF,1.636
unknown,similar to C. elegans protein,G2/M,YPR045C,YPR045C,YPR045C,undocumented,New,"Protein of unknown function, has similarity to C. elegans protein U13070 ",1.638
"signaling, PKC1 pathway",MAP kinase (mitogen-activated protein kinase),S,YHR030C,SLT2,SLT2,viable,New,Serine/threonine protein kinase of MAP kinase family involved in the cell wall integrity (low-osmolarity) pathway ,1.639
unknown,Nap1p-binding protein,G1,YLR457C,NBP1,NBP1,lethal,New,Nap1p-binding protein ,1.639
mRNA 3'-end processing,cleavage/polyadenylation specificity factor subunit,S,YPR107C,YTH1,YTH1,lethal,New,Component of polyadenylation factor I ,1.639
phospholipid metabolism,"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase",G1,YHR123W,EPT1,EPT1,viable,New,"sn-1,2-Diacylglycerol ethanolaminephosphotransferase ",1.641
silencing,unknown,G1,YHR154W,ESC4,ESC4,undocumented,New,Protein involved in chromatin silencing ,1.642
sterol metabolism,C-8 sterol isomerase,G2/M,YMR202W,ERG2,ERG2,viable,New,"Sterol C8-C7 isomerase (C-8 sterol isomerase), enzyme of the ergosterol biosynthesis pathway ",1.645
sulfate assimilation,sulfite reductase subunit,S,YFR030W,MET10,MET10,viable,New,"Assimilatory sulfite reductase subunit, flavin-binding (alpha) subunit, part of the sulfate assimilation pathway ",1.647
drug resistance,suppressor of sulfoxyde ethionine,S,YAL067C,SEO1,SEO1,undocumented,New,Protein with similarity to Dal5p and members of the allantoate permease family of the major facilitator superfamily (MFS) ,1.648
