mgi_marker,symbol,name,chr
MGI:2686021,Ankfn1,ankyrin-repeat and fibronectin type III domain containing 1,11
MGI:3045301,Ankk1,ankyrin repeat and kinase domain containing 1,9
MGI:1261856,Ankle2,ankyrin repeat and LEM domain containing 2,5
MGI:1932101,Ankrd17,ankyrin repeat domain 17,5
MGI:5006716,Ankrd31,ankyrin repeat domain 31,13
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6
MGI:1920174,Anln,"anillin, actin binding protein",9
MGI:1914878,Anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",4
MGI:96819,Anxa1,annexin A1,19
MGI:108481,Anxa11,annexin A11,14
MGI:107765,Apbb1,"amyloid beta (A4) precursor protein-binding, family B, member 1",7
MGI:108405,Apbb2,"amyloid beta (A4) precursor protein-binding, family B, member 2",5
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18
MGI:88042,Apex1,apurinic/apyrimidinic endonuclease 1,14
MGI:88059,App,amyloid beta (A4) precursor protein,16
MGI:1920243,Appl1,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1",14
MGI:2384914,Appl2,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",10
MGI:99431,Arf1,ADP-ribosylation factor 1,11
MGI:103264,Arhgef2,rho/rac guanine nucleotide exchange factor (GEF) 2,3
MGI:2444453,Arhgef10,Rho guanine nucleotide exchange factor (GEF) 10,8
MGI:1928393,Arl2,ADP-ribosylation factor-like 2,19
MGI:1929699,Arl3,ADP-ribosylation factor-like 3,19
MGI:1891691,Arpp19,cAMP-regulated phosphoprotein 19,9
MGI:1334448,Aspm,abnormal spindle microtubule assembly,1
MGI:1921318,Asz1,"ankyrin repeat, SAM and basic leucine zipper domain containing 1",6
MGI:2442925,Atad5,"ATPase family, AAA domain containing 5",11
MGI:109349,Atf2,activating transcription factor 2,2
MGI:2141857,Atf5,activating transcription factor 5,7
MGI:107202,Atm,ataxia telangiectasia mutated,9
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1
MGI:108028,Atr,ataxia telangiectasia and Rad3 related,9
MGI:1925349,Atrip,ATR interacting protein,9
MGI:103067,Atrx,"ATRX, chromatin remodeler",X
MGI:1917135,Aunip,aurora kinase A and ninein interacting protein,4
MGI:894678,Aurka,aurora kinase A,2
MGI:107168,Aurkb,aurora kinase B,11
MGI:1321119,Aurkc,aurora kinase C,7
MGI:1921518,Aven,"apoptosis, caspase activation inhibitor",2
MGI:1270862,Axin2,axin 2,11
MGI:3575512,AY074887,cDNA sequence AY074887,9
MGI:1859169,Azin1,antizyme inhibitor 1,15
MGI:1915501,Babam1,BRISC and BRCA1 A complex member 1,8
MGI:1333875,Babam2,BRISC and BRCA1 A complex member 2,5
MGI:894680,Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",16
MGI:1919439,Bag6,BCL2-associated athanogene 6,17
MGI:2143311,Bbs4,Bardet-Biedl syndrome 4 (human),9
MGI:2672904,BC034090,cDNA sequence BC034090,1
MGI:1913415,Bccip,BRCA2 and CDKN1A interacting protein,7
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1
MGI:88139,Bcl2l1,BCL2-like 1,2
MGI:1197519,Bcl2l11,BCL2-like 11 (apoptosis facilitator),2
MGI:1891828,Becn1,"beclin 1, autophagy related",11
MGI:108093,Bid,BH3 interacting domain death agonist,6
MGI:1929883,Bin3,bridging integrator 3,14
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11
MGI:1276108,Birc6,baculoviral IAP repeat-containing 6,17
MGI:1328362,Blm,"Bloom syndrome, RecQ like helicase",7
MGI:88180,Bmp4,bone morphogenetic protein 4,14
MGI:103302,Bmp7,bone morphogenetic protein 7,2
MGI:109327,Bnip2,BCL2/adenovirus E1B interacting protein 2,9
MGI:1924994,Bora,"bora, aurora kinase A activator",14
MGI:104537,Brca1,"breast cancer 1, early onset",11
MGI:109337,Brca2,"breast cancer 2, early onset",5
MGI:2389572,Brcc3,"BRCA1/BRCA2-containing complex, subunit 3",X
MGI:1888520,Brd4,bromodomain containing 4,17
MGI:1349766,Brd7,bromodomain containing 7,8
MGI:1891374,Brdt,"bromodomain, testis-specific",5
MGI:2442836,Brip1,BRCA1 interacting protein C-terminal helicase 1,11
MGI:1921916,Brme1,break repair meiotic recombinase recruitment factor 1,8
MGI:2685946,Brsk1,BR serine/threonine kinase 1,7
MGI:1923020,Brsk2,BR serine/threonine kinase 2,7
MGI:3650217,Btbd18,BTB (POZ) domain containing 18,2
MGI:99439,Btc,"betacellulin, epidermal growth factor family member",5
MGI:3606486,Btn2a2,"butyrophilin, subfamily 2, member A2",13
MGI:1100510,Bub1,"BUB1, mitotic checkpoint serine/threonine kinase",2
MGI:1333889,Bub1b,"BUB1B, mitotic checkpoint serine/threonine kinase",2
MGI:1343463,Bub3,BUB3 mitotic checkpoint protein,7
MGI:2142166,C2cd3,C2 calcium-dependent domain containing 3,7
MGI:1927065,Cables1,CDK5 and Abl enzyme substrate 1,18
MGI:103301,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",2
MGI:1926082,Cacul1,"CDK2 associated, cullin domain 1",19
MGI:88251,Calm1,calmodulin 1,12
MGI:103250,Calm2,calmodulin 2,17
MGI:103249,Calm3,calmodulin 3,7
MGI:88252,Calr,calreticulin,8
MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18
MGI:88257,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta",11
MGI:1341265,Camk2d,"calcium/calmodulin-dependent protein kinase II, delta",3
MGI:88259,Camk2g,calcium/calmodulin-dependent protein kinase II gamma,14
MGI:107437,Capn3,calpain 3,2
MGI:97295,Casp2,caspase 2,6
MGI:2444228,Ccar2,cell cycle activator and apoptosis regulator 2,14
MGI:3612184,Ccdc8,coiled-coil domain containing 8,7
MGI:1918526,Ccdc57,coiled-coil domain containing 57,11
MGI:2685005,Ccdc61,coiled-coil domain containing 61,7
MGI:1196234,Ccdc69,coiled-coil domain containing 69,11
MGI:2685960,Ccdc84,coiled-coil domain containing 84,9
MGI:98259,Ccl2,chemokine (C-C motif) ligand 2,11
MGI:108224,Ccl12,chemokine (C-C motif) ligand 12,11
MGI:95537,Ccn2,cellular communication network factor 2,10
MGI:108042,Ccna1,cyclin A1,3
MGI:108069,Ccna2,cyclin A2,3
MGI:88302,Ccnb1,cyclin B1,13
MGI:2685134,Ccnb1ip1,cyclin B1 interacting protein 1,14
MGI:88311,Ccnb2,cyclin B2,9
MGI:2183443,Ccnb3,cyclin B3,X
MGI:88313,Ccnd1,cyclin D1,7
MGI:88314,Ccnd2,cyclin D2,6
MGI:88315,Ccnd3,cyclin D3,17
MGI:88316,Ccne1,cyclin E1,7
MGI:1329034,Ccne2,cyclin E2,4
MGI:102551,Ccnf,cyclin F,17
MGI:102890,Ccng1,cyclin G1,11
MGI:1095734,Ccng2,cyclin G2,5
MGI:1341077,Ccni,cyclin I,5
MGI:2443297,Ccnj,cyclin J,19
MGI:2685723,Ccnjl,cyclin J-like,11
MGI:2145534,Ccno,cyclin O,13
MGI:1915224,Ccny,cyclin Y,18
MGI:2141942,Ccp110,centriolar coiled coil protein 110,7
MGI:1920670,Ccsap,"centriole, cilia and spindle associated protein",8
MGI:88327,Cd28,CD28 antigen,1
MGI:1918952,Cdc5l,cell division cycle 5-like (S. pombe),17
MGI:1345150,Cdc6,cell division cycle 6,11
MGI:1309511,Cdc7,cell division cycle 7 (S. cerevisiae),5
MGI:2442676,Cdc14a,CDC14 cell division cycle 14A,3
MGI:2441808,Cdc14b,CDC14 cell division cycle 14B,13
MGI:1917207,Cdc16,CDC16 cell division cycle 16,8
MGI:1859866,Cdc20,cell division cycle 20,4
MGI:1098815,Cdc23,CDC23 cell division cycle 23,18
MGI:103198,Cdc25a,cell division cycle 25A,9
MGI:99701,Cdc25b,cell division cycle 25B,2
MGI:88350,Cdc25c,cell division cycle 25C,18
MGI:1913690,Cdc26,cell division cycle 26,4
MGI:102685,Cdc27,cell division cycle 27,11
MGI:106211,Cdc42,cell division cycle 42,4
MGI:1338073,Cdc45,cell division cycle 45,16
MGI:2384876,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component",1
MGI:1919787,Cdca2,cell division cycle associated 2,14
MGI:1915099,Cdca5,cell division cycle associated 5,19
MGI:1196274,Cdca8,cell division cycle associated 8,4
MGI:88351,Cdk1,cyclin-dependent kinase 1,10
MGI:104772,Cdk2,cyclin-dependent kinase 2,10
MGI:1098779,Cdk2ap2,CDK2-associated protein 2,19
MGI:88357,Cdk4,cyclin-dependent kinase 4,10
MGI:101765,Cdk5,cyclin-dependent kinase 5,5
MGI:101764,Cdk5r1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",11
MGI:2384875,Cdk5rap2,CDK5 regulatory subunit associated protein 2,4
MGI:1933126,Cdk5rap3,CDK5 regulatory subunit associated protein 3,11
MGI:88353,Cdk11b,cyclin-dependent kinase 11B,4
MGI:894318,Cdk14,cyclin-dependent kinase 14,5
MGI:3583944,Cdk15,cyclin-dependent kinase 15,1
MGI:97516,Cdk16,cyclin-dependent kinase 16,X
MGI:97517,Cdk17,cyclin-dependent kinase 17,10
MGI:97518,Cdk18,cyclin-dependent kinase 18,1
MGI:104556,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),17
MGI:104565,Cdkn1b,cyclin-dependent kinase inhibitor 1B,6
MGI:104564,Cdkn1c,cyclin-dependent kinase inhibitor 1C (P57),7
MGI:104738,Cdkn2a,cyclin dependent kinase inhibitor 2A,4
MGI:104737,Cdkn2b,cyclin dependent kinase inhibitor 2B,4
MGI:105388,Cdkn2c,cyclin dependent kinase inhibitor 2C,4
MGI:105387,Cdkn2d,cyclin dependent kinase inhibitor 2D,9
MGI:1914427,Cdt1,chromatin licensing and DNA replication factor 1,8
MGI:88375,Cenpa,centromere protein A,5
MGI:99700,Cenpc1,centromere protein C1,5
MGI:1098230,Cenpe,centromere protein E,3
MGI:1313302,Cenpf,centromere protein F,1
MGI:1349448,Cenph,centromere protein H,13
MGI:2684927,Cenpj,centromere protein J,14
MGI:1926210,Cenpk,centromere protein K,13
MGI:1933744,Cenpq,centromere protein Q,17
MGI:1917178,Cenps,centromere protein S,4
MGI:1920389,Cenpv,centromere protein V,11
MGI:894324,Cenpx,centromere protein X,11
MGI:3525111,Cep44,centrosomal protein 44,8
MGI:1921357,Cep55,centrosomal protein 55,19
MGI:2158560,Cep63,centrosomal protein 63,9
MGI:2667663,Cep68,centrosomal protein 68,11
MGI:1921720,Cep72,centrosomal protein 72,13
MGI:1923401,Cep76,centrosomal protein 76,18
MGI:1917262,Cep85,centrosomal protein 85,4
MGI:1921451,Cep97,centrosomal protein 97,16
MGI:2147298,Cep120,centrosomal protein 120,18
MGI:2680221,Cep126,centrosomal protein 126,9
MGI:107440,Cep131,centrosomal protein 131,11
MGI:2681869,Cep135,centrosomal protein 135,5
MGI:2139083,Cep152,centrosomal protein 152,2
MGI:1918049,Cep192,centrosomal protein 192,18
MGI:108084,Cep250,centrosomal protein 250,2
MGI:2442521,Cep295,centrosomal protein 295,9
MGI:1929713,Cep295nl,CEP295 N-terminal like,11
MGI:1347086,Cetn1,centrin 1,18
MGI:1347085,Cetn2,centrin 2,X
MGI:2677454,Cetn4,centrin 4,3
MGI:101757,Cfl1,"cofilin 1, non-muscle",19
MGI:1196398,Champ1,chromosome alignment maintaining phosphoprotein 1,8
MGI:1344395,Chd3,chromodomain helicase DNA binding protein 3,11
MGI:1202065,Chek1,checkpoint kinase 1,9
MGI:1355321,Chek2,checkpoint kinase 2,5
MGI:2444898,Chfr,checkpoint with forkhead and ring finger domains,5
MGI:1920159,Chmp1a,charged multivesicular body protein 1A,8
MGI:1916203,Chmp2a,charged multivesicular body protein 2A,7
MGI:1916192,Chmp2b,charged multivesicular body protein 2B,16
MGI:1913950,Chmp3,charged multivesicular body protein 3,6
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2
MGI:1913621,Chmp4c,charged multivesicular body protein 4C,3
MGI:1924209,Chmp5,charged multivesicular body protein 5,4
MGI:3583942,Chmp6,charged multivesicular body protein 6,11
MGI:1913922,Chmp7,charged multivesicular body protein 7,14
MGI:1914167,Chordc1,"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1",9
MGI:2384887,Chtf18,"CTF18, chromosome transmission fidelity factor 18",17
MGI:893588,Cirbp,cold inducible RNA binding protein,10
MGI:105313,Cit,citron,5
MGI:1931797,Ckap2,cytoskeleton associated protein 2,8
MGI:1923036,Ckap5,cytoskeleton associated protein 5,2
MGI:1889208,Cks1b,CDC28 protein kinase 1b,3
MGI:1913447,Cks2,CDC28 protein kinase regulatory subunit 2,13
MGI:1923957,Clasp1,CLIP associating protein 1,1
MGI:1923749,Clasp2,CLIP associating protein 2,9
MGI:99698,Clock,circadian locomotor output cycles kaput,5
MGI:2445153,Clspn,claspin,4
MGI:2388633,Cltc,"clathrin, heavy polypeptide (Hc)",11
MGI:1923965,Cntd1,cyclin N-terminal domain containing 1,11
MGI:2443104,Cntln,"centlein, centrosomal protein",4
MGI:2443290,Cntrob,"centrobin, centrosomal BRCA2 interacting protein",11
MGI:108442,Cpeb1,cytoplasmic polyadenylation element binding protein 1,7
MGI:1336168,Cradd,CASP2 and RIPK1 domain containing adaptor with death domain,10
MGI:1098280,Crebbp,CREB binding protein,16
MGI:1860086,Crlf3,cytokine receptor-like factor 3,11
MGI:2685861,Crnn,cornulin,3
MGI:3529431,Crocc,"ciliary rootlet coiled-coil, rootletin",4
MGI:1270841,Cry1,cryptochrome 1 (photolyase-like),10
MGI:1355272,Csnk1d,"casein kinase 1, delta",11
MGI:88543,Csnk2a1,"casein kinase 2, alpha 1 polypeptide",2
MGI:88547,Csnk2a2,"casein kinase 2, alpha prime polypeptide",8
MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1
MGI:1916214,Ctc1,CTS telomere maintenance complex component 1,11
MGI:1926953,Ctdp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",18
MGI:2654470,Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",1
MGI:1098748,Ctdsp2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",10
MGI:1916524,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",9
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9
MGI:1347360,Cul3,cullin 3,1
MGI:1914487,Cul4a,cullin 4A,8
MGI:1919834,Cul4b,cullin 4B,X
MGI:1913765,Cul7,cullin 7,17
MGI:1925559,Cul9,cullin 9,17
MGI:103567,Cxcr5,chemokine (C-X-C motif) receptor 5,9
MGI:88588,Cyp1a1,"cytochrome P450, family 1, subfamily a, polypeptide 1",9
MGI:2176159,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",6
MGI:1098274,Cyp27b1,"cytochrome P450, family 27, subfamily b, polypeptide 1",10
MGI:91842,D1Pas1,"DNA segment, Chr 1, Pasteur Institute 1",1
MGI:1196431,D7Ertd443e,"DNA segment, Chr 7, ERATO Doi 443, expressed",7
MGI:1916851,Dab2ip,disabled 2 interacting protein,2
MGI:1277991,Dach1,dachshund family transcription factor 1,14
MGI:1891740,Dact1,dishevelled-binding antagonist of beta-catenin 1,12
MGI:1197015,Daxx,Fas death domain-associated protein,17
MGI:1342328,Dazl,deleted in azoospermia-like,17
MGI:1351328,Dbf4,DBF4 zinc finger,5
MGI:107745,Dctn1,dynactin 1,6
MGI:107733,Dctn2,dynactin 2,10
MGI:1859251,Dctn3,dynactin 3,4
MGI:1343154,Dctn6,dynactin 6,8
MGI:2679003,Dcun1d3,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)",7
MGI:1202384,Ddb1,damage specific DNA binding protein 1,19
MGI:103064,Ddx3x,"DEAD box helicase 3, X-linked",X
MGI:102670,Ddx4,DEAD box helicase 4,13
MGI:2443590,Ddx11,DEAD/H box helicase 11,17
MGI:99240,Ddx39b,DEAD box helicase 39b,17
MGI:2443026,Deup1,deuterosome assembly protein 1,9
MGI:1278339,Dgkz,diacylglycerol kinase zeta,2
MGI:2177178,Dicer1,"dicer 1, ribonuclease type III",12
MGI:2442555,Dis3l2,DIS3 like 3'-5' exoribonuclease 2,1
MGI:107231,Dlg1,discs large MAGUK scaffold protein 1,16
MGI:2183453,Dlgap5,DLG associated protein 5,14
MGI:105393,Dmc1,DNA meiotic recombinase 1,15
MGI:1354733,Dmrt1,doublesex and mab-3 related transcription factor 1,19
MGI:1918491,Dmrtc2,doublesex and mab-3 related transcription factor like family C2,7
MGI:2443732,Dna2,DNA replication helicase/nuclease 2,10
MGI:3649996,Dnmt3c,DNA methyltransferase 3C,2
MGI:1859287,Dnmt3l,DNA (cytosine-5-)-methyltransferase 3-like,10
MGI:1890621,Donson,downstream neighbor of SON,16
MGI:2143886,Dot1l,"DOT1-like, histone H3 methyltransferase (S. cerevisiae)",10
MGI:94924,Drd2,dopamine receptor D2,9
MGI:94925,Drd3,dopamine receptor D3,16
MGI:1343297,Drg1,developmentally regulated GTP binding protein 1,11
MGI:1919357,Dscc1,DNA replication and sister chromatid cohesion 1,15
MGI:1914184,Dsn1,"DSN1 homolog, MIS12 kinetochore complex component",2
MGI:1929270,Dstn,destrin,2
MGI:1924093,Dtl,denticleless E3 ubiquitin protein ligase,1
MGI:103147,Dync1h1,dynein cytoplasmic 1 heavy chain 1,12
MGI:2135610,Dync1li1,dynein cytoplasmic 1 light intermediate chain 1,9
MGI:98643,Dynlt1b,dynein light chain Tctex-type 1B,17
MGI:1330300,Dyrk3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,1
MGI:101941,E2f1,E2F transcription factor 1,2
MGI:1096340,E2f3,E2F transcription factor 3,13
MGI:103012,E2f4,E2F transcription factor 4,8
MGI:105091,E2f5,E2F transcription factor 5,3
MGI:1354159,E2f6,E2F transcription factor 6,12
MGI:1289147,E2f7,E2F transcription factor 7,10
MGI:1922038,E2f8,E2F transcription factor 8,7
MGI:109530,E4f1,E4F transcription factor 1,17
MGI:1917851,Ecd,ecdysoneless cell cycle regulator,14
MGI:1926146,Ecrg4,ECRG4 augurin precursor,1
MGI:95281,Ect2,ect2 oncogene,3
MGI:95283,Edn1,endothelin 1,13
MGI:95285,Edn3,endothelin 3,2
MGI:1918699,Eef1aknmt,EEF1A lysine and N-terminal methyltransferase,1
MGI:1919127,Efhc1,EF-hand domain (C-terminal) containing 1,1
MGI:1921655,Efhc2,EF-hand domain (C-terminal) containing 2,X
MGI:95290,Egf,epidermal growth factor,3
MGI:95294,Egfr,epidermal growth factor receptor,11
MGI:2148922,Ehmt2,euchromatic histone lysine N-methyltransferase 2,17
MGI:1353427,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4,2
MGI:95305,Eif4e,eukaryotic translation initiation factor 4E,3
MGI:103267,Eif4ebp1,eukaryotic translation initiation factor 4E binding protein 1,8
MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",16
MGI:1923935,Eif4g3,"eukaryotic translation initiation factor 4 gamma, 3",4
MGI:3576783,Eme1,essential meiotic structure-specific endonuclease 1,11
MGI:1919889,Eme2,essential meiotic structure-specific endonuclease subunit 2,17
MGI:1915769,Eml1,echinoderm microtubule associated protein like 1,12
MGI:2387612,Eml3,echinoderm microtubule associated protein like 3,19
MGI:1926048,Eml4,echinoderm microtubule associated protein like 4,17
MGI:1915362,Entr1,endosome associated trafficking regulator 1,2
MGI:1919170,Epgn,epithelial mitogen,5
MGI:104684,Eps8,epidermal growth factor receptor pathway substrate 8,6
MGI:95412,Ercc1,"excision repair cross-complementing rodent repair deficiency, complementation group 1",7
MGI:95413,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",7
MGI:95414,Ercc3,"excision repair cross-complementing rodent repair deficiency, complementation group 3",18
MGI:1354163,Ercc4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",16
MGI:1100494,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",14
MGI:107508,Ereg,epiregulin,5
MGI:1925055,Esco1,establishment of sister chromatid cohesion N-acetyltransferase 1,18
MGI:1919238,Esco2,establishment of sister chromatid cohesion N-acetyltransferase 2,14
MGI:2146156,Espl1,"extra spindle pole bodies 1, separase",15
MGI:1352467,Esr1,estrogen receptor 1 (alpha),10
MGI:1346832,Esrrb,"estrogen related receptor, beta",12
MGI:1915395,Etaa1,Ewing tumor-associated antigen 1,11
MGI:109344,Eya1,EYA transcriptional coactivator and phosphatase 1,1
MGI:107940,Ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit,6
MGI:98931,Ezr,ezrin,17
MGI:1919128,Fam83d,"family with sequence similarity 83, member D",2
MGI:3041256,Fam107a,"family with sequence similarity 107, member A",14
MGI:1915284,Fam122a,"family with sequence similarity 122, member A",19
MGI:1341823,Fanca,"Fanconi anemia, complementation group A",8
MGI:2448480,Fancd2,"Fanconi anemia, complementation group D2",6
MGI:2442306,Fancm,"Fanconi anemia, complementation group M",12
MGI:1354702,Fbxl3,F-box and leucine-rich repeat protein 3,14
MGI:1354705,Fbxl6,F-box and leucine-rich repeat protein 6,15
MGI:3052506,Fbxl7,F-box and leucine-rich repeat protein 7,15
MGI:1354697,Fbxl8,F-box and leucine-rich repeat protein 8,8
MGI:1354738,Fbxl12,F-box and leucine-rich repeat protein 12,9
MGI:1915681,Fbxl15,F-box and leucine-rich repeat protein 15,19
MGI:1354704,Fbxl17,F-box and leucine-rich repeat protein 17,17
MGI:2442921,Fbxl21,F-box and leucine-rich repeat protein 21,13
MGI:1921415,Fbxl22,F-box and leucine-rich repeat protein 22,9
MGI:2146220,Fbxo4,F-box protein 4,15
MGI:1914391,Fbxo5,F-box protein 5,10
MGI:1917004,Fbxo7,F-box protein 7,10
MGI:1354708,Fbxo31,F-box protein 31,8
MGI:1926053,Fbxo43,F-box protein 43,15
MGI:1354731,Fbxw5,F-box and WD-40 domain protein 5,2
MGI:1354695,Fbxw7,F-box and WD-40 domain protein 7,3
MGI:2144023,Fbxw11,F-box and WD-40 domain protein 11,11
MGI:1335087,Fem1b,fem 1 homolog b,9
MGI:102779,Fen1,flap structure specific endonuclease 1,19
MGI:95514,Fes,feline sarcoma oncogene,7
MGI:99604,Fgf8,fibroblast growth factor 8,19
MGI:1099809,Fgf10,fibroblast growth factor 10,13
MGI:95522,Fgfr1,fibroblast growth factor receptor 1,8
MGI:95523,Fgfr2,fibroblast growth factor receptor 2,7
MGI:95524,Fgfr3,fibroblast growth factor receptor 3,5
MGI:1298387,Fhl1,four and a half LIM domains 1,X
MGI:1338765,Fhl4,four and a half LIM domains 4,10
MGI:1890648,Fignl1,fidgetin-like 1,11
MGI:2442184,Flcn,folliculin,11
MGI:95556,Flna,"filamin, alpha",X
MGI:1859252,Fmn2,formin 2,1
MGI:1926805,Foxj2,forkhead box J2,6
MGI:2443432,Foxj3,forkhead box J3,4
MGI:1347487,Foxm1,forkhead box M1,6
MGI:1918625,Foxn3,forkhead box N3,12
MGI:1891915,Foxo4,forkhead box O4,X
MGI:1934858,Fsd1,fibronectin type 3 and SPRY domain-containing protein,17
MGI:1926790,Fzr1,fizzy and cell division cycle 20 related 1,10
MGI:107799,Gadd45a,growth arrest and DNA-damage-inducible 45 alpha,6
MGI:95655,Gas1,growth arrest specific 1,13
MGI:99844,Gem,GTP binding protein (gene overexpressed in skeletal muscle),4
MGI:2443149,Gen1,"GEN1, Holliday junction 5' flap endonuclease",12
MGI:2138584,Gigyf2,GRB10 interacting GYF protein 2,1
MGI:1916520,Gins1,GINS complex subunit 1 (Psf1 homolog),2
MGI:1926083,Gins3,GINS complex subunit 3 (Psf3 homolog),8
MGI:1926252,Gipc1,"GIPC PDZ domain containing family, member 1",8
MGI:1927140,Git1,GIT ArfGAP 1,11
MGI:2153060,Gjc2,"gap junction protein, gamma 2",11
MGI:95727,Gli1,GLI-Kruppel family member GLI1,10
MGI:2685806,Gm960,predicted gene 960,19
MGI:6121571,Gm49361,"predicted gene, 49361",14
MGI:6215011,Gm49601,"predicted gene, 49601",16
MGI:95771,Gnai1,"guanine nucleotide binding protein (G protein), alpha inhibiting 1",5
MGI:2139395,Golga2,"golgi autoantigen, golgin subfamily a, 2",2
MGI:1924104,Gper1,G protein-coupled estrogen receptor 1,5
MGI:1934765,Gpnmb,glycoprotein (transmembrane) nmb,6
MGI:101908,Gpr3,G-protein coupled receptor 3,4
MGI:1890220,Gpr132,G protein-coupled receptor 132,12
MGI:1923373,Gpsm2,"G-protein signalling modulator 2 (AGS3-like, C. elegans)",3
MGI:1355324,Grb14,growth factor receptor bound protein 14,2
MGI:1861437,Gsk3b,glycogen synthase kinase 3 beta,16
MGI:102688,H2ax,H2A.X variant histone,9
MGI:1353592,Hacd1,3-hydroxyacyl-CoA dehydratase 1,2
MGI:1194498,Haspin,histone H3 associated protein kinase,11
MGI:2385076,Haus1,"HAUS augmin-like complex, subunit 1",18
MGI:1913546,Haus2,"HAUS augmin-like complex, subunit 2",2
MGI:2387633,Haus3,"HAUS augmin-like complex, subunit 3",5
MGI:1261794,Haus4,"HAUS augmin-like complex, subunit 4",14
MGI:1919159,Haus5,"HAUS augmin-like complex, subunit 5",7
MGI:1923389,Haus6,"HAUS augmin-like complex, subunit 6",4
