"initial_alias","converted_alias","name","description","namespace"
"YAL024C","YAL024C","LTE1","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures [Source:SGD;Acc:S000000022]","ENSG,ENSP"
"YAL025C","YAL025C","MAK16","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus [Source:SGD;Acc:S000000023]","ENSG,ENSP"
"YAL026C","YAL026C","DRS2","Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease [Source:SGD;Acc:S000000024]","ENSG,ENSP"
"YAL029C","YAL029C","MYO4","Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication [Source:SGD;Acc:S000000027]","ENSG,ENSP"
"YAL034C","YAL034C","FUN19","Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication [Source:SGD;Acc:S000002134]","ENSG,ENSP"
"YAL036C","YAL036C","RBG1","Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid [Source:SGD;Acc:S000000034]","ENSG,ENSP"
"YAL037W","YAL037W","YAL037W","Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication [Source:SGD;Acc:S000000035]","ENSG,ENSP"
"YAL038W","YAL038W","CDC19","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication [Source:SGD;Acc:S000000036]","ENSG,ENSP"
"YAL039C","YAL039C","CYC3","Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant [Source:SGD;Acc:S000000037]","ENSG,ENSP"
"YAL040C","YAL040C","CLN3","G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1 [Source:SGD;Acc:S000000038]","ENSG,ENSP"
"YAL043C","YAL043C","PTA1","Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII [Source:SGD;Acc:S000000041]","ENSG,ENSP"
"YAL043C-A","None","None","None",""
"YAL044C","YAL044C","GCV3","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF [Source:SGD;Acc:S000000042]","ENSG,ENSP"
"YAL045C","YAL045C","YAL045C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A [Source:SGD;Acc:S000000043]","ENSG,ENSP"
"YAL046C","YAL046C","BOL3","Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2) [Source:SGD;Acc:S000000044]","ENSG,ENSP"
"YAL048C","YAL048C","GEM1","Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases [Source:SGD;Acc:S000000046]","ENSG,ENSP"
"YAL049C","YAL049C","AIM2","Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor [Source:SGD;Acc:S000000047]","ENSG,ENSP"
"YAL051W","YAL051W","OAF1","Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication [Source:SGD;Acc:S000000048]","ENSG,ENSP"
"YAL054C","YAL054C","ACS1","Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions [Source:SGD;Acc:S000000050]","ENSG,ENSP"
"YAL059W","YAL059W","ECM1","Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm [Source:SGD;Acc:S000000055]","ENSG,ENSP"
"YAL060W","YAL060W","BDH1","NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source [Source:SGD;Acc:S000000056]","ENSG,ENSP"
"YAL061W","YAL061W","BDH2","Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 [Source:SGD;Acc:S000000057]","ENSG,ENSP"
"YAR008W","YAR008W","SEN34","Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease [Source:SGD;Acc:S000000066]","ENSG,ENSP"
"YAR010C","YAR010C","YAR010C","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional [Source:SGD;Acc:S000000068]","ENSG,ENST,SGD_GENE"
"YAR015W","YAR015W","ADE1","N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000070]","ENSG,ENSP"
"YAR018C","YAR018C","KIN3","Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol [Source:SGD;Acc:S000000071]","ENSG,ENSP"
"YAR019C","YAR019C","CDC15","Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress [Source:SGD;Acc:S000000072]","ENSG,ENSP"
"YAR020C","YAR020C","PAU7","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme [Source:SGD;Acc:S000000073]","ENSG,ENSP"
"YAR028W","YAR028W","YAR028W","Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000000076]","ENSG,ENSP"
"YAR031W","YAR031W","PRM9","Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication [Source:SGD;Acc:S000000078]","ENSG,ENSP"
"YAR033W","YAR033W","MST28","Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication [Source:SGD;Acc:S000000079]","ENSG,ENSP"
"YAR035W","YAR035W","YAT1","Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated [Source:SGD;Acc:S000000080]","ENSG,ENSP"
"YAR042W","YAR042W","SWH1","Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication [Source:SGD;Acc:S000000081]","ENSG,ENSP"
"YAR044W","None","None","None",""
"YAR050W","YAR050W","FLO1","Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication [Source:SGD;Acc:S000000084]","ENSG,ENSP"
"YAR075W","YAR075W","YAR075W","Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication [Source:SGD;Acc:S000002145]","ENSG,ENSP"
"YBL001C","YBL001C","ECM15","Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis [Source:SGD;Acc:S000000097]","ENSG,ENSP"
"YBL003C","YBL003C","HTA2","Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p [Source:SGD;Acc:S000000099]","ENSG,ENSP"
"YBL005W","YBL005W","PDR3","Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate [Source:SGD;Acc:S000000101]","ENSG,ENSP"
"YBL005W-B","YBL005W-B","YBL005W-B","Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes [Source:SGD;Acc:S000002147]","ENSG,ENST"
"YBL007C","YBL007C","SLA1","Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains [Source:SGD;Acc:S000000103]","ENSG,ENSP"
"YBL008W","YBL008W","HIR1","Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores [Source:SGD;Acc:S000000104]","ENSG,ENSP"
"YBL010C","YBL010C","YBL010C","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles [Source:SGD;Acc:S000000106]","ENSG,ENSP"
"YBL011W","YBL011W","SCT1","Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed [Source:SGD;Acc:S000000107]","ENSG,ENSP"
"YBL014C","YBL014C","RRN6","Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p [Source:SGD;Acc:S000000110]","ENSG,ENSP"
"YBL015W","YBL015W","ACH1","Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth [Source:SGD;Acc:S000000111]","ENSG,ENSP"
"YBL018C","YBL018C","POP8","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000000114]","ENSG,ENSP"
"YBL019W","YBL019W","APN2","Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII [Source:SGD;Acc:S000000115]","ENSG,ENSP"
"YBL021C","YBL021C","HAP3","Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding [Source:SGD;Acc:S000000117]","ENSG,ENSP"
"YBL022C","YBL022C","PIM1","ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria [Source:SGD;Acc:S000000118]","ENSG,ENSP"
"YBL023C","YBL023C","MCM2","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000000119]","ENSG,ENSP"
"YBL025W","YBL025W","RRN10","Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I [Source:SGD;Acc:S000000121]","ENSG,ENSP"
"YBL026W","YBL026W","LSM2","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000000122]","ENSG,ENSP"
"YBL029W","YBL029W","YBL029W","Non-essential protein of unknown function [Source:SGD;Acc:S000000125]","ENSG,ENSP"
"YBL030C","YBL030C","PET9","Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant [Source:SGD;Acc:S000000126]","ENSG,ENSP"
"YBL033C","YBL033C","RIB1","GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway [Source:SGD;Acc:S000000129]","ENSG,ENSP"
"YBL034C","YBL034C","STU1","Component of the mitotic spindle; binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles [Source:SGD;Acc:S000000130]","ENSG,ENSP"
"YBL036C","YBL036C","YBL036C","Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5'-phosphate; expression of GFP-fusion protein induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000000132]","ENSG,ENSP"
"YBL037W","YBL037W","APL3","Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport [Source:SGD;Acc:S000000133]","ENSG,ENSP"
"YBL039C","YBL039C","URA7","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication [Source:SGD;Acc:S000000135]","ENSG,ENSP"
"YBL040C","YBL040C","ERD2","HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins [Source:SGD;Acc:S000000136]","ENSG,ENSP"
"YBL043W","YBL043W","ECM13","Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication [Source:SGD;Acc:S000000139]","ENSG,ENSP"
"YBL045C","YBL045C","COR1","Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain [Source:SGD;Acc:S000000141]","ENSG,ENSP"
"YBL047C","YBL047C","EDE1","Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15 [Source:SGD;Acc:S000000143]","ENSG,ENSP"
"YBL049W","YBL049W","MOH1","Protein of unknown function, essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport [Source:SGD;Acc:S000000145]","ENSG,ENSP"
"YBL053W","YBL053W","YBL053W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000149]","ENSG,ENSP"
"YBL054W","YBL054W","TOD6","PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manner; activated in stochastic pulses of nuclear localization [Source:SGD;Acc:S000000150]","ENSG,ENSP"
"YBL055C","YBL055C","YBL055C","3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases [Source:SGD;Acc:S000000151]","ENSG,ENSP,SGD_GENE"
"YBL057C","YBL057C","PTH2","One of two mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via interactions with ubiquitin-like ubiquitin-associated proteins; dispensable for cell growth; see also PTH1 [Source:SGD;Acc:S000000153]","ENSG,ENSP"
"YBL059W","YBL059W","YBL059W","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YBL059W has a paralog, YER093C-A, that arose from the whole genome duplication [Source:SGD;Acc:S000000155]","ENSG,ENSP"
"YBL061C","YBL061C","SKT5","Activator of Chs3p (chitin synthase III) during vegetative growth; recruits Chs3p to the bud neck via interaction with Bni4p; SKT5 has a paralog, SHC1, that arose from the whole genome duplication [Source:SGD;Acc:S000000157]","ENSG,ENSP"
"YBL062W","YBL062W","YBL062W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000158]","ENSG,ENSP"
"YBL066C","YBL066C","SEF1","Putative transcription factor; has homolog in Kluyveromyces lactis [Source:SGD;Acc:S000000162]","ENSG,ENSP"
"YBL067C","YBL067C","UBP13","Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog, UBP9, that arose from the whole genome duplication [Source:SGD;Acc:S000000163]","ENSG,ENSP"
"YBL070C","YBL070C","YBL070C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000166]","ENSG,ENSP"
"YBL071C","YBL071C","YBL071C","Putative protein of unknown function; conserved among S. cerevisiae strains; YBL071C is not an essential gene [Source:SGD;Acc:S000000167]","ENSG,ENSP"
"YBL072C","YBL072C","RPS8A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8A has a paralog, RPS8B, that arose from the whole genome duplication [Source:SGD;Acc:S000000168]","ENSG,ENSP"
"YBL074C","YBL074C","AAR2","Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron [Source:SGD;Acc:S000000170]","ENSG,ENSP"
"YBL076C","YBL076C","ILS1","Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A [Source:SGD;Acc:S000000172]","ENSG,ENSP"
"YBL080C","YBL080C","PET112","Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog [Source:SGD;Acc:S000000176]","ENSG,ENSP"
"YBL083C","YBL083C","YBL083C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF ALG3 [Source:SGD;Acc:S000000179]","ENSG,ENSP"
"YBL084C","YBL084C","CDC27","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition [Source:SGD;Acc:S000000180]","ENSG,ENSP"
"YBL086C","YBL086C","YBL086C","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery [Source:SGD;Acc:S000000182]","ENSG,ENSP"
"YBL087C","YBL087C","RPL23A","Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog, RPL23B, that arose from the whole genome duplication [Source:SGD;Acc:S000000183]","ENSG,ENSP"
"YBL088C","YBL088C","TEL1","Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene [Source:SGD;Acc:S000000184]","ENSG,ENSP"
"YBL089W","YBL089W","AVT5","Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; AVT5 has a paralog, AVT6, that arose from the whole genome duplication [Source:SGD;Acc:S000000185]","ENSG,ENSP"
"YBL091C","YBL091C","MAP2","Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p [Source:SGD;Acc:S000000187]","ENSG,ENSP"
"YBL091C-A","YBL091C-A","SCS22","Protein involved in regulation of phospholipid metabolism; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect the ER and plasma membrane (PM); regulates PM PI4P levels by controlling access of the Sac1p phosphatase to its substrate, PI4P; human VAP homolog; similar to D. melanogaster inturned protein; SWAT-GFP and mCherry fusion proteins localize to the cytosol; SCS22 has a paralog, SCS2, that arose from the whole genome duplication [Source:SGD;Acc:S000007228]","ENSG,ENSP"
"YBL093C","YBL093C","ROX3","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme [Source:SGD;Acc:S000000189]","ENSG,ENSP"
"YBL095W","YBL095W","MRX3","Protein that associates with mitochondrial ribosome; likely functions in cristae junction formation; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000000191]","ENSG,ENSP"
